OrderID|CustomerID|SalespersonPersonID|PickedByPersonID|ContactPersonID|BackorderOrderID|OrderDate|ExpectedDeliveryDate|CustomerPurchaseOrderNumber|IsUndersupplyBackordered|Comments|DeliveryInstructions|InternalComments|PickingCompletedWhen|LastEditedBy|LastEditedWhen
133698|894|14|9|3094||2018-11-21|2018-11-22 00:00:00.0000000|15849|True||||2018-11-21 11:00:00.0000000|9|2018-11-21 11:00:00.0000000
133699|174|2|9|1347||2018-11-21|2018-11-22 00:00:00.0000000|16560|True||||2018-11-21 11:00:00.0000000|9|2018-11-21 11:00:00.0000000
133700|414|8|9|2027||2018-11-21|2018-11-22 00:00:00.0000000|13299|True||||2018-11-21 11:00:00.0000000|9|2018-11-21 11:00:00.0000000
133701|802|8|9|3002||2018-11-21|2018-11-22 00:00:00.0000000|12183|True||||2018-11-21 11:00:00.0000000|9|2018-11-21 11:00:00.0000000
133702|69|6|9|1137||2018-11-21|2018-11-22 00:00:00.0000000|19910|True||||2018-11-21 11:00:00.0000000|9|2018-11-21 11:00:00.0000000
133703|470|3|9|2139||2018-11-21|2018-11-22 00:00:00.0000000|16745|True||||2018-11-21 11:00:00.0000000|9|2018-11-21 11:00:00.0000000
133704|8|16|9|1015||2018-11-21|2018-11-22 00:00:00.0000000|11162|True||||2018-11-21 11:00:00.0000000|9|2018-11-21 11:00:00.0000000
133705|162|13|9|1323||2018-11-21|2018-11-22 00:00:00.0000000|19869|True||||2018-11-21 11:00:00.0000000|9|2018-11-21 11:00:00.0000000
133706|517|8|9|2233||2018-11-21|2018-11-22 00:00:00.0000000|12331|True||||2018-11-21 11:00:00.0000000|9|2018-11-21 11:00:00.0000000
133707|104|2|9|1207||2018-11-21|2018-11-22 00:00:00.0000000|11083|True||||2018-11-21 11:00:00.0000000|9|2018-11-21 11:00:00.0000000
133708|177|8|9|1353||2018-11-21|2018-11-22 00:00:00.0000000|11732|True||||2018-11-21 11:00:00.0000000|9|2018-11-21 11:00:00.0000000
133709|405|8|9|2009||2018-11-21|2018-11-22 00:00:00.0000000|19333|True||||2018-11-21 11:00:00.0000000|9|2018-11-21 11:00:00.0000000
