OrderLineID|OrderID|StockItemID|PackageTypeID|Quantity|UnitPrice|TaxRate|PickedQuantity|PickingCompletedWhen|LastEditedBy|LastEditedWhen
102001|32202|213|7|1|87.0|15.0|1|2014-08-07 11:00:00.0000000|2|2014-08-07 11:00:00.0000000
102002|32203|105|7|1|35.0|15.0|1|2014-08-07 11:00:00.0000000|2|2014-08-07 11:00:00.0000000
102003|32203|131|7|3|32.0|15.0|3|2014-08-07 11:00:00.0000000|2|2014-08-07 11:00:00.0000000
102004|32203|25|7|2|13.0|15.0|2|2014-08-07 11:00:00.0000000|2|2014-08-07 11:00:00.0000000
102005|32203|173|7|60|105.0|15.0|60|2014-08-07 11:00:00.0000000|2|2014-08-07 11:00:00.0000000
102006|32204|216|7|50|12.5|15.0|50|2014-08-07 11:00:00.0000000|2|2014-08-07 11:00:00.0000000
102007|32204|185|7|50|2.04|15.0|50|2014-08-07 11:00:00.0000000|2|2014-08-07 11:00:00.0000000
102008|32204|33|7|10|13.0|15.0|10|2014-08-07 11:00:00.0000000|2|2014-08-07 11:00:00.0000000
102009|32204|206|7|96|2.7|15.0|96|2014-08-07 11:00:00.0000000|2|2014-08-07 11:00:00.0000000
102010|32205|143|7|84|18.0|15.0|84|2014-08-07 11:00:00.0000000|2|2014-08-07 11:00:00.0000000
102011|32205|218|7|100|37.5|15.0|100|2014-08-07 11:00:00.0000000|2|2014-08-07 11:00:00.0000000
102012|32205|187|7|125|0.95|15.0|125|2014-08-07 11:00:00.0000000|2|2014-08-07 11:00:00.0000000
102013|32205|132|7|9|32.0|15.0|9|2014-08-07 11:00:00.0000000|2|2014-08-07 11:00:00.0000000
102014|32206|147|7|84|18.0|15.0|84|2014-08-07 11:00:00.0000000|2|2014-08-07 11:00:00.0000000
102015|32206|205|7|10|32.0|15.0|10|2014-08-07 11:00:00.0000000|2|2014-08-07 11:00:00.0000000
102016|32207|149|7|48|18.0|15.0|48|2014-08-07 11:00:00.0000000|2|2014-08-07 11:00:00.0000000
102017|32263|86|7|60|18.0|15.0|60|2015-02-04 11:00:00.0000000|14|2015-02-04 11:00:00.0000000
102018|32207|172|7|30|48.0|15.0|30|2014-08-07 11:00:00.0000000|2|2014-08-07 11:00:00.0000000
102019|32208|168|7|40|29.0|15.0|40|2014-08-07 11:00:00.0000000|2|2014-08-07 11:00:00.0000000
102020|32208|44|7|3|13.0|15.0|3|2014-08-07 11:00:00.0000000|2|2014-08-07 11:00:00.0000000
102021|32209|160|7|20|33.0|15.0|20|2014-08-07 11:00:00.0000000|2|2014-08-07 11:00:00.0000000
102022|32209|96|7|84|18.0|15.0|84|2014-08-07 11:00:00.0000000|2|2014-08-07 11:00:00.0000000
102023|32209|99|7|24|18.0|15.0|24|2014-08-07 11:00:00.0000000|2|2014-08-07 11:00:00.0000000
102024|32264|95|7|84|18.0|15.0|84|2015-01-29 11:00:00.0000000|8|2015-01-29 11:00:00.0000000
102025|32210|211|7|60|4.1|15.0|60|2014-08-07 11:00:00.0000000|2|2014-08-07 11:00:00.0000000
102026|32210|142|7|12|18.0|15.0|12|2014-08-07 11:00:00.0000000|2|2014-08-07 11:00:00.0000000
102027|32210|177|7|150|1.05|15.0|150|2014-08-07 11:00:00.0000000|2|2014-08-07 11:00:00.0000000
102028|32211|79|7|24|18.0|15.0|24|2014-08-07 11:00:00.0000000|2|2014-08-07 11:00:00.0000000
102029|32211|124|7|2|32.0|15.0|2|2014-08-07 11:00:00.0000000|2|2014-08-07 11:00:00.0000000
102030|32212|50|7|6|13.0|15.0|6|2014-08-07 11:00:00.0000000|2|2014-08-07 11:00:00.0000000
102031|32212|173|7|70|105.0|15.0|70|2014-08-07 11:00:00.0000000|2|2014-08-07 11:00:00.0000000
102032|32213|79|7|84|18.0|15.0|84|2014-08-07 11:00:00.0000000|2|2014-08-07 11:00:00.0000000
102033|32213|95|7|48|18.0|15.0|48|2014-08-07 11:00:00.0000000|2|2014-08-07 11:00:00.0000000
102034|32213|154|7|100|20.0|15.0|100|2014-08-07 11:00:00.0000000|2|2014-08-07 11:00:00.0000000
102035|32214|34|7|6|13.0|15.0|6|2014-08-07 11:00:00.0000000|2|2014-08-07 11:00:00.0000000
102036|32214|132|7|2|32.0|15.0|2|2014-08-07 11:00:00.0000000|2|2014-08-07 11:00:00.0000000
102037|32214|219|7|20|50.0|15.0|20|2014-08-07 11:00:00.0000000|2|2014-08-07 11:00:00.0000000
102038|32214|80|7|36|18.0|15.0|36|2014-08-07 11:00:00.0000000|2|2014-08-07 11:00:00.0000000
102039|32215|138|10|24|5.0|15.0|24|2014-08-07 11:00:00.0000000|2|2014-08-07 11:00:00.0000000
102040|32215|25|7|9|13.0|15.0|9|2014-08-07 11:00:00.0000000|2|2014-08-07 11:00:00.0000000
102041|32215|100|7|108|18.0|15.0|108|2014-08-07 11:00:00.0000000|2|2014-08-07 11:00:00.0000000
102042|32215|38|7|7|13.0|15.0|7|2014-08-07 11:00:00.0000000|2|2014-08-07 11:00:00.0000000
102043|32215|57|7|5|13.0|15.0|5|2014-08-07 11:00:00.0000000|2|2014-08-07 11:00:00.0000000
102044|32216|112|7|4|30.0|15.0|4|2014-08-07 11:00:00.0000000|2|2014-08-07 11:00:00.0000000
102045|32216|151|9|9|16.0|15.0|9|2014-08-07 11:00:00.0000000|2|2014-08-07 11:00:00.0000000
102046|32216|51|7|5|13.0|15.0|5|2014-08-07 11:00:00.0000000|2|2014-08-07 11:00:00.0000000
