StockItemID|StockItemName|SupplierID|ColorID|UnitPackageID|OuterPackageID|Brand|Size|LeadTimeDays|QuantityPerOuter|IsChillerStock|Barcode|TaxRate|UnitPrice|RecommendedRetailPrice|TypicalWeightPerUnit|MarketingComments|InternalComments|Photo|SearchDetails
1|USB missile launcher (Green)|12||7|7|||14|1|FALSE||15|25|37.38|0.3|Complete with 12 projectiles|||USB missile launcher (Green) Complete with 12 projectiles
2|USB rocket launcher (Gray)|12|12|7|7|||14|1|FALSE||15|25|37.38|0.3|Complete with 12 projectiles|||USB rocket launcher (Gray) Complete with 12 projectiles
3|Office cube periscope (Black)|12|3|7|6|||14|10|FALSE||15|18.5|27.66|0.25|Need to see over your cubicle wall? This is just what's needed.|||Office cube periscope (Black) Need to see over your cubicle wall? This is just what's needed.
4|USB food flash drive - sushi roll|12||7|7|||14|1|FALSE||15|32|47.84|0.05||||USB food flash drive - sushi roll 
5|USB food flash drive - hamburger|12||7|7|||14|1|FALSE||15|32|47.84|0.05||||USB food flash drive - hamburger 
6|USB food flash drive - hot dog|12||7|7|||14|1|FALSE||15|32|47.84|0.05||||USB food flash drive - hot dog 
7|USB food flash drive - pizza slice|12||7|7|||14|1|FALSE||15|32|47.84|0.05||||USB food flash drive - pizza slice 
8|USB food flash drive - dim sum 10 drive variety pack|12||9|9|||14|1|FALSE||15|240|358.8|0.5||||USB food flash drive - dim sum 10 drive variety pack 
9|USB food flash drive - banana|12||7|7|||14|1|FALSE||15|32|47.84|0.05||||USB food flash drive - banana 
10|USB food flash drive - chocolate bar|12||7|7|||14|1|FALSE||15|32|47.84|0.05||||USB food flash drive - chocolate bar 
11|USB food flash drive - cookie|12||7|7|||14|1|FALSE||15|32|47.84|0.05||||USB food flash drive - cookie 
12|USB food flash drive - donut|12||7|7|||14|1|FALSE||15|32|47.84|0.05||||USB food flash drive - donut 
13|USB food flash drive - shrimp cocktail|12||7|7|||14|1|FALSE||15|32|47.84|0.05||||USB food flash drive - shrimp cocktail 
14|USB food flash drive - fortune cookie|12||7|7|||14|1|FALSE||15|32|47.84|0.05||||USB food flash drive - fortune cookie 
15|USB food flash drive - dessert 10 drive variety pack|12||9|9|||14|1|FALSE||15|240|358.8|0.5||||USB food flash drive - dessert 10 drive variety pack 
16|DBA joke mug - mind if I join you? (White)|5|35|7|7|||12|1|FALSE||15|13|19.44|0.15||||DBA joke mug - mind if I join you? (White) 
17|DBA joke mug - mind if I join you? (Black)|5|3|7|7|||12|1|FALSE||15|13|19.44|0.15||||DBA joke mug - mind if I join you? (Black) 
18|DBA joke mug - daaaaaa-ta (White)|5|35|7|7|||12|1|FALSE||15|13|19.44|0.15||||DBA joke mug - daaaaaa-ta (White) 
19|DBA joke mug - daaaaaa-ta (Black)|5|3|7|7|||12|1|FALSE||15|13|19.44|0.15||||DBA joke mug - daaaaaa-ta (Black) 
20|DBA joke mug - you might be a DBA if (White)|5|35|7|7|||12|1|FALSE||15|13|19.44|0.15||||DBA joke mug - you might be a DBA if (White) 
21|DBA joke mug - you might be a DBA if (Black)|5|3|7|7|||12|1|FALSE||15|13|19.44|0.15||||DBA joke mug - you might be a DBA if (Black) 
22|DBA joke mug - it depends (White)|5|35|7|7|||12|1|FALSE||15|13|19.44|0.15||||DBA joke mug - it depends (White) 
23|DBA joke mug - it depends (Black)|5|3|7|7|||12|1|FALSE||15|13|19.44|0.15||||DBA joke mug - it depends (Black) 
24|DBA joke mug - I will get you in order (White)|5|35|7|7|||12|1|FALSE||15|13|19.44|0.15||||DBA joke mug - I will get you in order (White) 
25|DBA joke mug - I will get you in order (Black)|5|3|7|7|||12|1|FALSE||15|13|19.44|0.15||||DBA joke mug - I will get you in order (Black) 
26|DBA joke mug - SELECT caffeine FROM mug (White)|5|35|7|7|||12|1|FALSE||15|13|19.44|0.15||||DBA joke mug - SELECT caffeine FROM mug (White) 
27|DBA joke mug - SELECT caffeine FROM mug (Black)|5|3|7|7|||12|1|FALSE||15|13|19.44|0.15||||DBA joke mug - SELECT caffeine FROM mug (Black) 
28|DBA joke mug - two types of DBAs (White)|5|35|7|7|||12|1|FALSE||15|13|19.44|0.15||||DBA joke mug - two types of DBAs (White) 
29|DBA joke mug - two types of DBAs (Black)|5|3|7|7|||12|1|FALSE||15|13|19.44|0.15||||DBA joke mug - two types of DBAs (Black) 
30|Developer joke mug - Oct 31 = Dec 25 (White)|5|35|7|7|||12|1|FALSE||15|13|19.44|0.15||||Developer joke mug - Oct 31 = Dec 25 (White) 
31|Developer joke mug - Oct 31 = Dec 25 (Black)|5|3|7|7|||12|1|FALSE||15|13|19.44|0.15||||Developer joke mug - Oct 31 = Dec 25 (Black) 
