ID,NAME,IS_SUPERHOST,CREATED_AT,UPDATED_AT
1581,Annette,f,2014-01-05T16:12:45Z,2014-01-05T16:12:45Z
2164,Lulah,t,2013-07-31T23:29:31Z,2013-07-31T23:29:31Z
2217,Ion,t,2017-10-17T05:20:28Z,2017-10-17T05:20:28Z
3718,Britta,f,2009-06-05T21:34:42Z,2009-06-05T21:34:42Z
11622,Maria,f,2021-10-24T02:42:09Z,2021-10-24T02:42:09Z
12360,Michael,t,2017-08-27T12:08:43Z,2017-08-27T12:08:43Z
12424,Mariana,f,2021-11-08T17:27:31Z,2021-11-08T17:27:31Z
15115,Christian,f,2015-01-03T17:53:53Z,2015-01-03T17:53:53Z
17391,BrightRoom,t,2009-08-12T12:30:30Z,2009-08-12T12:30:30Z
22901,Hannes,f,2013-07-06T11:09:47Z,2013-07-06T11:09:47Z
32299,Simon,f,2021-11-15T21:27:50Z,2021-11-15T21:27:50Z
32918,Patricia,f,2017-02-28T21:08:27Z,2017-02-28T21:08:27Z
33355,Doug,f,2013-05-30T16:36:37Z,2013-05-30T16:36:37Z
33852,Philipp,f,2015-07-30T05:08:52Z,2015-07-30T05:08:52Z
35103,Kamal,f,2017-12-04T04:25:58Z,2017-12-04T04:25:58Z
48159,Tracey,f,2019-06-04T22:26:33Z,2019-06-04T22:26:33Z
54283,Marine,t,2010-09-27T10:29:48Z,2010-09-27T10:29:48Z
55531,Chris + Oliver,t,2010-06-15T19:56:01Z,2010-06-15T19:56:01Z
60495,Inga,f,2021-10-29T07:55:08Z,2021-10-29T07:55:08Z
64696,Rene,f,2010-05-30T12:11:33Z,2010-05-30T12:11:33Z
68997,Matthias,f,2010-02-08T17:23:48Z,2010-02-08T17:23:48Z
71331,Marc,f,2012-09-24T21:03:01Z,2012-09-24T21:03:01Z
71913,Jennifer,f,2014-12-02T17:39:03Z,2014-12-02T17:39:03Z
73158,Mina,f,2017-12-23T07:04:54Z,2017-12-23T07:04:54Z
84157,Emanuela,f,2015-12-05T14:55:58Z,2015-12-05T14:55:58Z
86159,Javier,f,2011-03-31T17:17:58Z,2011-03-31T17:17:58Z
86173,Sebastian,f,2011-06-06T01:55:30Z,2011-06-06T01:55:30Z
87357,Ramfis,t,2010-10-08T08:59:12Z,2010-10-08T08:59:12Z
94918,Tanja,f,2010-05-26T11:58:00Z,2010-05-26T11:58:00Z
98237,Damian,f,2018-05-05T03:59:36Z,2018-05-05T03:59:36Z
99662,Dominik,f,2010-09-18T04:06:39Z,2010-09-18T04:06:39Z
102461,Berlin Style Apartments,t,2016-04-29T01:22:42Z,2016-04-29T01:22:42Z
109039,Benjamin,f,2021-11-07T06:57:21Z,2021-11-07T06:57:21Z
112168,Bernd,f,2017-06-26T11:30:48Z,2017-06-26T11:30:48Z
112675,Terri,t,2010-08-03T02:49:12Z,2010-08-03T02:49:12Z
119815,Amarna,f,2018-07-03T21:21:09Z,2018-07-03T21:21:09Z
133204,Songfei,f,2016-05-29T20:19:38Z,2016-05-29T20:19:38Z
134583,Elisa,f,2016-08-19T08:17:00Z,2016-08-19T08:17:00Z
143180,Claudio&Irina,f,2010-08-16T15:09:42Z,2010-08-16T15:09:42Z
145583,Christian,f,2016-10-19T11:41:00Z,2016-10-19T11:41:00Z
145808,Veronika,f,2012-02-13T18:07:54Z,2012-02-13T18:07:54Z
147778,Filippo,f,2014-07-07T14:33:00Z,2014-07-07T14:33:00Z
149093,Rob,t,2014-01-01T15:09:31Z,2014-01-01T15:09:31Z
151200,Brilliant Apartments,t,2019-02-17T15:30:35Z,2019-02-17T15:30:35Z
151248,Flo,t,2011-06-05T15:14:50Z,2011-06-05T15:14:50Z
156897,Helen,f,2012-09-15T05:40:21Z,2012-09-15T05:40:21Z
158127,Friedrich,f,2017-01-06T05:25:51Z,2017-01-06T05:25:51Z
159734,Bernd,f,2010-07-22T02:38:14Z,2010-07-22T02:38:14Z
160191,Surian,f,2016-09-30T07:30:29Z,2016-09-30T07:30:29Z
161221,Marcus,t,2016-04-06T06:40:24Z,2016-04-06T06:40:24Z
161823,Iván,f,2016-07-10T09:55:31Z,2016-07-10T09:55:31Z
161864,Mia,f,2019-08-29T05:02:31Z,2019-08-29T05:02:31Z
162648,Djuneid,t,2018-11-24T02:17:33Z,2018-11-24T02:17:33Z
163384,Alan & Kasia StayBearlin,f,2010-09-06T18:10:29Z,2010-09-06T18:10:29Z
164321,Res,f,2018-07-29T01:43:49Z,2018-07-29T01:43:49Z
166294,Ann-Kristin,f,2021-11-15T03:17:59Z,2021-11-15T03:17:59Z
171057,John,f,2014-05-11T15:18:50Z,2014-05-11T15:18:50Z
174970,Judith,f,2012-03-23T21:26:31Z,2012-03-23T21:26:31Z
179110,Bn,f,2010-08-11T09:47:51Z,2010-08-11T09:47:51Z
179872,Sebastian,f,2014-09-22T00:30:45Z,2014-09-22T00:30:45Z
186851,Tina,t,2011-01-15T18:12:45Z,2011-01-15T18:12:45Z
187941,Marco,f,2016-03-17T14:26:11Z,2016-03-17T14:26:11Z
194957,Robert,f,2010-09-20T04:09:56Z,2010-09-20T04:09:56Z
196413,Sebastian,f,2014-12-22T13:16:22Z,2014-12-22T13:16:22Z
201786,Andrea,f,2021-06-28T15:39:11Z,2021-06-28T15:39:11Z
201936,Giorgio,t,2014-01-01T07:33:12Z,2014-01-01T07:33:12Z
203248,Oliver Andreas,f,2021-10-21T17:48:18Z,2021-10-21T17:48:18Z
204484,Richard,f,2019-09-25T23:06:33Z,2019-09-25T23:06:33Z
206108,Nicholas,f,2015-05-12T12:30:29Z,2015-05-12T12:30:29Z
206338,Heike,t,2012-07-22T09:59:56Z,2012-07-22T09:59:56Z
213446,Alisa,f,2017-06-11T15:47:01Z,2017-06-11T15:47:01Z
214527,Can,f,2014-04-27T09:44:07Z,2014-04-27T09:44:07Z
218479,Laura,f,2010-09-16T15:06:12Z,2010-09-16T15:06:12Z
228016,Jan&Elena,f,2012-06-19T07:13:43Z,2012-06-19T07:13:43Z
234391,Per,f,2021-11-13T20:54:40Z,2021-11-13T20:54:40Z
235351,Hendrik,t,2018-09-03T17:09:21Z,2018-09-03T17:09:21Z
239309,Martin,f,2015-09-20T11:40:58Z,2015-09-20T11:40:58Z
245517,Martin,f,2018-10-12T20:37:39Z,2018-10-12T20:37:39Z
246313,Lex,f,2015-12-31T13:12:09Z,2015-12-31T13:12:09Z
246684,Ellen,f,2021-11-02T03:07:21Z,2021-11-02T03:07:21Z
246890,Imme,t,2012-04-01T02:55:06Z,2012-04-01T02:55:06Z
248690,Nils,f,2017-08-15T05:07:00Z,2017-08-15T05:07:00Z
249501,Elfie And  Paul,f,2011-05-31T16:44:56Z,2011-05-31T16:44:56Z
254200,Jazmin,f,2021-07-03T18:19:22Z,2021-07-03T18:19:22Z
261488,P. Charlotte,f,2013-04-12T13:12:07Z,2013-04-12T13:12:07Z
264020,Lena,f,2014-08-30T06:47:16Z,2014-08-30T06:47:16Z
264072,Britta,t,2013-03-06T13:26:04Z,2013-03-06T13:26:04Z
265689,Eray,f,2021-10-25T16:34:40Z,2021-10-25T16:34:40Z
269771,Danilo,f,2018-12-10T11:56:35Z,2018-12-10T11:56:35Z
272316,Desiree,f,2010-07-03T11:22:21Z,2010-07-03T11:22:21Z
276540,Edward Mitchell,t,2013-03-25T17:46:11Z,2013-03-25T17:46:11Z
280605,Johanna,f,2015-07-20T19:54:02Z,2015-07-20T19:54:02Z
